Date,Close
1/2/2019,34.03
1/3/2019,32.56
1/4/2019,33.9
1/7/2019,34.45
1/8/2019,35.1
1/9/2019,35.65
1/10/2019,36.68
1/11/2019,36.64
1/14/2019,36.65
1/15/2019,36.9
1/16/2019,37.36
1/17/2019,38.12
1/18/2019,38.68
1/22/2019,38.09
1/23/2019,38.85
1/24/2019,39.5
1/25/2019,39.04
1/28/2019,38.93
1/29/2019,39
1/30/2019,38.68
1/31/2019,39.47
2/1/2019,39.62
2/4/2019,40.15
2/5/2019,40.58
2/6/2019,40.12
2/7/2019,39.27
2/8/2019,39.92
2/11/2019,39.44
2/12/2019,40.28
2/13/2019,39.59
2/14/2019,39.88
2/15/2019,40.18
2/19/2019,40.35
2/20/2019,38.19
2/21/2019,39.17
2/22/2019,39.51
2/25/2019,38.53
2/26/2019,37.25
2/27/2019,37.12
2/28/2019,37.25
3/1/2019,36.57
3/4/2019,35.37
3/5/2019,34.58
3/6/2019,33.8
3/7/2019,33.25
3/8/2019,32.96
3/11/2019,33.48
3/12/2019,33.79
3/13/2019,34.19
3/14/2019,34.27
3/15/2019,33.82
3/18/2019,34.25
3/19/2019,34.54
3/20/2019,34.49
3/21/2019,35.05
3/22/2019,33.5
3/25/2019,34.27
3/26/2019,34.43
3/27/2019,34.82
3/28/2019,34.96
3/29/2019,35.53
4/1/2019,35.29
4/2/2019,34.36
4/3/2019,33.86
4/4/2019,33.91
4/5/2019,34.18
4/8/2019,34.03
4/9/2019,33.54
4/10/2019,32.89
4/11/2019,33.52
4/12/2019,33.54
4/15/2019,33.07
4/16/2019,32.85
4/17/2019,32.04
4/18/2019,32.24
4/22/2019,32.17
4/23/2019,32.67
4/24/2019,33.08
4/25/2019,32.69
4/26/2019,33.28
4/29/2019,33.62
4/30/2019,33.86
5/1/2019,37.02
5/2/2019,36.43
5/3/2019,37.1
5/6/2019,37.24
5/7/2019,37.34
5/8/2019,37.83
5/9/2019,37.89
5/10/2019,38.29
5/13/2019,37.3
5/14/2019,36.63
5/15/2019,36.39
5/16/2019,36.88
5/17/2019,36.42
5/20/2019,36.78
5/21/2019,38.1
5/22/2019,37.97
5/23/2019,36.96
5/24/2019,37.4
5/28/2019,37.41
5/29/2019,37.63
