Date,Close
1/2/2015,10.82
1/5/2015,10.76
1/6/2015,10.62
1/7/2015,10.67
1/8/2015,10.63
1/9/2015,10.38
1/12/2015,10.12
1/13/2015,9.71
1/14/2015,12.6
1/15/2015,10.11
1/16/2015,10.24
1/20/2015,10.03
1/21/2015,9.93
1/22/2015,10.51
1/23/2015,10.71
1/26/2015,10.52
1/27/2015,10.56
1/28/2015,10.12
1/29/2015,10.25
1/30/2015,10.15
2/2/2015,10.07
2/3/2015,9.93
2/4/2015,9.88
2/5/2015,10.09
2/6/2015,9.98
2/9/2015,9.87
2/10/2015,9.91
2/11/2015,9.87
2/12/2015,9.86
2/13/2015,10.09
2/17/2015,10.36
2/18/2015,10.37
2/19/2015,10.36
2/20/2015,10.27
2/23/2015,10.11
2/24/2015,10.27
2/25/2015,10.51
2/26/2015,10.76
2/27/2015,10.81
3/2/2015,11.05
3/3/2015,10.97
3/4/2015,10.84
3/5/2015,10.89
3/6/2015,10.67
3/9/2015,9.86
3/10/2015,9.77
3/11/2015,9.9
3/12/2015,9.93
3/13/2015,9.81
3/16/2015,9.72
3/17/2015,9.72
3/18/2015,9.77
3/19/2015,9.7
3/20/2015,9.51
3/23/2015,9.52
3/24/2015,9.52
3/25/2015,9.28
3/26/2015,9.3
3/27/2015,9.46
3/30/2015,8.8
3/31/2015,8.93
4/1/2015,8.9
4/2/2015,9.04
4/6/2015,9.34
4/7/2015,9.32
4/8/2015,9.3
4/9/2015,9.53
4/10/2015,9.54
4/13/2015,9.61
4/14/2015,9.74
4/15/2015,9.97
4/16/2015,9.93
4/17/2015,9.89
4/20/2015,10.01
4/21/2015,10.03
4/22/2015,9.92
4/23/2015,10.27
4/24/2015,10.38
4/27/2015,10.24
4/28/2015,10.39
4/29/2015,10.37
4/30/2015,10.16
5/1/2015,10.27
5/4/2015,10.16
5/5/2015,9.94
5/6/2015,9.8
5/7/2015,9.72
5/8/2015,9.88
5/11/2015,10.46
5/12/2015,10.2
5/13/2015,10.26
5/14/2015,10.33
5/15/2015,10.33
5/18/2015,10.23
5/19/2015,10.12
5/20/2015,10.11
5/21/2015,10.27
5/22/2015,10.48
5/26/2015,10.3
5/27/2015,10.11
5/28/2015,10.03
5/29/2015,9.8
6/1/2015,9.51
6/2/2015,9.62
6/3/2015,9.71
6/4/2015,9.74
6/5/2015,9.75
6/8/2015,9.52
6/9/2015,9.54
6/10/2015,9.32
6/11/2015,9.21
6/12/2015,9.23
6/15/2015,9.39
6/16/2015,9.26
6/17/2015,9.31
6/18/2015,9.12
6/19/2015,8.91
6/22/2015,9.2
6/23/2015,8.81
6/24/2015,8.83
6/25/2015,8.63
6/26/2015,8.57
6/29/2015,8.29
6/30/2015,8.18
7/1/2015,8.02
7/2/2015,7.96
7/6/2015,7.97
7/7/2015,7.99
7/8/2015,7.69
7/9/2015,7.77
7/10/2015,7.69
7/13/2015,7.73
7/14/2015,7.96
7/15/2015,7.83
7/16/2015,7.78
7/17/2015,7.77
7/20/2015,7.68
7/21/2015,7.84
7/22/2015,7.7
7/23/2015,7.61
7/24/2015,7.33
7/27/2015,7.28
7/28/2015,7.8
7/29/2015,8
7/30/2015,7.92
7/31/2015,7.74
8/3/2015,7.55
8/4/2015,7.6
8/5/2015,7.61
8/6/2015,7.66
8/7/2015,7.57
8/10/2015,7.7
8/11/2015,7.56
8/12/2015,7.74
8/13/2015,7.6
8/14/2015,7.66
8/17/2015,7.64
8/18/2015,7.57
8/19/2015,7.5
8/20/2015,7.39
8/21/2015,7.15
8/24/2015,6.97
8/25/2015,6.74
8/26/2015,6.79
8/27/2015,7.19
8/28/2015,7.37
8/31/2015,7.59
9/1/2015,7.34
9/2/2015,7.47
9/3/2015,7.46
9/4/2015,7.28
9/8/2015,7.4
9/9/2015,7.24
9/10/2015,7.38
9/11/2015,7.37
9/14/2015,7.38
9/15/2015,7.49
9/16/2015,7.66
9/17/2015,7.57
9/18/2015,7.5
9/21/2015,7.42
9/22/2015,7.25
9/23/2015,7.17
9/24/2015,7.03
9/25/2015,6.49
9/28/2015,6.3
9/29/2015,6.02
9/30/2015,6.13
10/1/2015,6.08
10/2/2015,6.34
10/5/2015,6.61
10/6/2015,6.79
10/7/2015,7.16
10/8/2015,7.29
10/9/2015,7.42
10/12/2015,7.16
10/13/2015,7.17
10/14/2015,7.28
10/15/2015,7.28
10/16/2015,7.11
10/19/2015,7.18
10/20/2015,7.2
10/21/2015,7.08
10/22/2015,7.15
10/23/2015,7.32
10/26/2015,7.27
10/27/2015,7
10/28/2015,7.19
10/29/2015,7.12
10/30/2015,7.29
11/2/2015,7.5
11/3/2015,7.73
11/4/2015,7.66
11/5/2015,7.6
11/6/2015,8.02
11/9/2015,8.08
11/10/2015,7.69
11/11/2015,7.41
11/12/2015,7.42
11/13/2015,7.22
11/16/2015,7.53
11/17/2015,7.42
11/18/2015,7.63
11/19/2015,7.73
11/20/2015,7.77
11/23/2015,7.82
11/24/2015,7.95
11/25/2015,7.91
11/27/2015,7.82
11/30/2015,7.94
12/1/2015,7.86
12/2/2015,7.72
12/3/2015,7.71
12/4/2015,7.76
12/7/2015,7.58
12/8/2015,7.64
12/9/2015,7.37
12/10/2015,7.89
12/11/2015,7.68
12/14/2015,7.57
12/15/2015,7.85
12/16/2015,8.18
